,,,accuracy,sharpe,max_dd
3,30,common,0.5119108176849396,1.9534826241302685,-0.021739024233553117
4,5,all,0.509140104984036,0.711918582202479,-0.01663381365899741
4,5,top100,0.509140104984036,1.259483258407656,-0.017256349792399983
4,5,trimmed100,0.509140104984036,1.2812303576778818,-0.017816323795689093
4,5,common,0.509140104984036,1.9199399439261442,-0.016530295769553782
4,10,all,0.5113696628605444,0.7056132129539615,-0.02018905282506589
4,10,top100,0.5113696628605444,1.5332893447660179,-0.022046076210962218
4,10,trimmed100,0.5113696628605444,1.5338004068990054,-0.02286590101896946
4,10,common,0.5113696628605444,2.8349948417643827,-0.020042260831975467
4,15,all,0.5135451052546134,0.8854980711863494,-0.018798157748688094
4,15,top100,0.5135451052546134,1.6178820572997197,-0.02013104133611554
4,15,trimmed100,0.5135451052546134,1.5798577898445374,-0.020841222764032885
4,15,common,0.5135451052546134,2.857967153722208,-0.018443616280663933
4,20,all,0.5122950376102603,0.39110696656828686,-0.018066138574980295
4,20,top100,0.5122950376102603,1.1067586718502105,-0.022055530865167094
4,20,trimmed100,0.5122950376102603,1.1244867697924805,-0.022618142492483284
4,20,common,0.5122950376102603,3.1682259043959906,-0.019570761477706533
4,25,all,0.5131608853292927,0.681310038626878,-0.017983513017397867
4,25,top100,0.5131608853292927,1.6322438364390037,-0.016969415796574627
4,25,trimmed100,0.5131608853292927,1.702050312215033,-0.018498063191407343
4,25,common,0.5131608853292927,3.461360395414725,-0.01668857095489229
4,30,all,0.5111586124790303,0.1843148824744158,-0.018111721348757936
4,30,top100,0.5111586124790303,1.0906089611128673,-0.016251678776460277
4,30,trimmed100,0.5111586124790303,1.069785301182443,-0.016561214270402802
4,30,common,0.5111586124790303,2.602637114425604,-0.017281039668190723
5,5,all,0.5132258239082201,1.3576094253811557,-0.01413637043301541
5,5,top100,0.5132258239082201,2.32837129813335,-0.01649620914730321
5,5,trimmed100,0.5132258239082201,2.300782396280627,-0.016503499108042274
5,5,common,0.5132258239082201,3.3854711383644442,-0.017032088329093753
5,10,all,0.5120677525840143,0.6529597955625318,-0.0172717897959358
