,,,accuracy,sharpe,max_dd
4,25,common,0.5131608853292927,3.267881497304896,-0.01668857095489229
4,30,all,0.5111586124790303,0.17401227416652826,-0.018111721348757936
4,30,top100,0.5111586124790303,1.029647432707923,-0.016251678776460277
4,30,trimmed100,0.5111586124790303,1.0099877483009057,-0.016561214270402802
4,30,common,0.5111586124790303,2.4571580820353702,-0.017281039668190723
5,5,all,0.5132258239082201,1.2817234309512713,-0.01413637043301541
5,5,top100,0.5132258239082201,2.198222841546697,-0.01649620914730321
5,5,trimmed100,0.5132258239082201,2.1721760704520414,-0.016503499108042274
5,5,common,0.5132258239082201,3.1962342053074058,-0.017032088329093753
5,10,all,0.5120677525840143,0.6164614459763942,-0.0172717897959358
5,10,top100,0.5120677525840143,1.76303595078611,-0.01758393959677418
5,10,trimmed100,0.5120677525840143,1.8907177311682617,-0.01776573333051268
5,10,common,0.5120677525840143,3.269082751421902,-0.01717538196558943
5,15,all,0.508328372747443,0.02110540854820634,-0.019892816839428562
5,15,top100,0.508328372747443,1.1579700215187803,-0.016917807973174437
5,15,trimmed100,0.508328372747443,1.0955084556216808,-0.016951693584585703
5,15,common,0.508328372747443,2.650395388933502,-0.017077846807268426
5,20,all,0.5089723469884734,-0.13973877831405906,-0.0206414134955768
5,20,top100,0.5089723469884734,0.8640212584335922,-0.020235859376006027
5,20,trimmed100,0.5089723469884734,0.7635384826792311,-0.02030492668694961
5,20,common,0.5089723469884734,2.616069348023487,-0.01887874467097339
5,25,all,0.5098868986417013,0.03458434819634292,-0.019638161956860745
5,25,top100,0.5098868986417013,0.5936767124533632,-0.02180372670240538
5,25,trimmed100,0.5098868986417013,0.5241754867373573,-0.02244016760917844
5,25,common,0.5098868986417013,2.277031271472955,-0.020166615645167307
5,30,all,0.5094377401374534,-0.16757265288637463,-0.01738457185018616
5,30,top100,0.5094377401374534,0.33209549418967266,-0.019788502467241953
5,30,trimmed100,0.5094377401374534,-0.02249334894496825,-0.02100509465844802
5,30,common,0.5094377401374534,1.5237492207685754,-0.018514043326295915
6,5,all,0.5110936739001029,0.9198598468717931,-0.016336734321346746
6,5,top100,0.5110936739001029,1.5432728999524314,-0.01812477737750473
6,5,trimmed100,0.5110936739001029,1.5979381709543183,-0.017724880300179047
6,5,common,0.5110936739001029,2.3874164075091775,-0.019980240176111774
6,10,all,0.5136316900265165,1.1383581634495308,-0.018451683885595593
6,10,top100,0.5136316900265165,2.0150369538063537,-0.02133961128061379
6,10,trimmed100,0.5136316900265165,1.8804882140122166,-0.0221076405624393
6,10,common,0.5136316900265165,3.4454018033033367,-0.016573551673714215
6,15,all,0.5102548839222901,0.2307357182868789,-0.018983858211272353
6,15,top100,0.5102548839222901,0.43606975383175406,-0.022586976662123504
6,15,trimmed100,0.5102548839222901,0.18509659328551914,-0.02464977638396526
6,15,common,0.5102548839222901,2.5711435533262543,-0.016223566461210592
6,20,all,0.5102007684398506,0.09823255307806877,-0.018997081583536524
6,20,top100,0.5102007684398506,0.11446023528883063,-0.021816639811026217
6,20,trimmed100,0.5102007684398506,-0.08215941497699586,-0.02353343646192485
6,20,common,0.5102007684398506,1.568647805939012,-0.018457290845107943
6,25,all,0.5080523837870015,-0.4109899642185715,-0.019334441357701793
6,25,top100,0.5080523837870015,-0.4582951893714303,-0.021637773559045947
6,25,trimmed100,0.5080523837870015,-0.7291657003478963,-0.023980595744342748
6,25,common,0.5080523837870015,1.3166983433188222,-0.01709800737440481
6,30,all,0.5083662535851508,-0.3154149689535378,-0.01788387970663141
6,30,top100,0.5083662535851508,-0.08982544773379447,-0.020267601344971076
6,30,trimmed100,0.5083662535851508,-0.25082040210504986,-0.021799464204591
6,30,common,0.5083662535851508,0.9107529432705969,-0.01695409319650154
7,5,all,0.5109042697115644,0.653328953870397,-0.01750477051149113
7,5,top100,0.5109042697115644,0.465649483300065,-0.019096301518618075
7,5,trimmed100,0.5109042697115644,0.3871427322408892,-0.018152712282029415
7,5,common,0.5109042697115644,1.2021575159951867,-0.02227182433769337
7,10,all,0.5109854429352237,0.42190170983217473,-0.020906418351803513
7,10,top100,0.5109854429352237,0.9795781997539689,-0.02296075755451088
7,10,trimmed100,0.5109854429352237,1.0660927935838622,-0.02328174986911058
7,10,common,0.5109854429352237,2.304504436098713,-0.023529118768210733
7,15,all,0.5087017695762758,0.0370284391471723,-0.01876994553416622
7,15,top100,0.5087017695762758,0.7548318675975597,-0.019131106162214695
7,15,trimmed100,0.5087017695762758,0.7650503641886229,-0.019511997650241697
7,15,common,0.5087017695762758,1.7227368513515253,-0.0198509303376726
7,20,all,0.5100330104442881,0.2157868584685777,-0.020700495581815304
7,20,top100,0.5100330104442881,0.7690589825795573,-0.01898462023390135
7,20,trimmed100,0.5100330104442881,0.6033829338158971,-0.019760871648814904
